Initial solution cost: 56440
Movement in iteration: 1, new cost: 56380
Movement in iteration: 2, new cost: 56320
Movement in iteration: 4, new cost: 56272
Movement in iteration: 6, new cost: 56084
Movement in iteration: 36, new cost: 56018
Movement in iteration: 41, new cost: 55966
Movement in iteration: 42, new cost: 55854
Movement in iteration: 51, new cost: 55810
Movement in iteration: 53, new cost: 55764
Movement in iteration: 55, new cost: 55492
Movement in iteration: 59, new cost: 55452
Movement in iteration: 60, new cost: 55448
Movement in iteration: 63, new cost: 55436
Movement in iteration: 70, new cost: 55424
Movement in iteration: 72, new cost: 55420
Movement in iteration: 74, new cost: 55280
Movement in iteration: 79, new cost: 55196
Movement in iteration: 80, new cost: 55106
Movement in iteration: 82, new cost: 55092
Movement in iteration: 83, new cost: 55028
Movement in iteration: 85, new cost: 54940
Movement in iteration: 86, new cost: 54816
Movement in iteration: 101, new cost: 54770
Movement in iteration: 102, new cost: 54734
Movement in iteration: 104, new cost: 54678
Movement in iteration: 105, new cost: 54602
Movement in iteration: 109, new cost: 54566
Movement in iteration: 111, new cost: 54538
Movement in iteration: 112, new cost: 54498
Movement in iteration: 116, new cost: 54390
Movement in iteration: 118, new cost: 54186
Movement in iteration: 121, new cost: 54182
Movement in iteration: 123, new cost: 54180
Movement in iteration: 136, new cost: 53992
Movement in iteration: 153, new cost: 53836
Movement in iteration: 156, new cost: 53776
Movement in iteration: 157, new cost: 53716
Movement in iteration: 159, new cost: 53676
Movement in iteration: 160, new cost: 53652
Movement in iteration: 163, new cost: 53624
Movement in iteration: 165, new cost: 53512
Movement in iteration: 200, new cost: 53506
Movement in iteration: 252, new cost: 53470
Movement in iteration: 298, new cost: 53464
Movement in iteration: 301, new cost: 53450
Movement in iteration: 308, new cost: 53438
Movement in iteration: 310, new cost: 53426
Movement in iteration: 319, new cost: 53366
Movement in iteration: 322, new cost: 53298
Movement in iteration: 333, new cost: 53258
Movement in iteration: 340, new cost: 53138
Movement in iteration: 357, new cost: 53066
Movement in iteration: 362, new cost: 52986
Movement in iteration: 385, new cost: 52960
Movement in iteration: 389, new cost: 52914
Movement in iteration: 392, new cost: 52894
Movement in iteration: 408, new cost: 52804
Movement in iteration: 411, new cost: 52744
Movement in iteration: 430, new cost: 52718
Movement in iteration: 431, new cost: 52698
Movement in iteration: 438, new cost: 52642
Movement in iteration: 445, new cost: 52586
Movement in iteration: 446, new cost: 52542
Movement in iteration: 450, new cost: 52520
Movement in iteration: 460, new cost: 52506
Movement in iteration: 469, new cost: 52494
Movement in iteration: 480, new cost: 52432
Movement in iteration: 490, new cost: 52420
Movement in iteration: 492, new cost: 52412
Movement in iteration: 570, new cost: 52356
Movement in iteration: 572, new cost: 52328
Movement in iteration: 582, new cost: 52314
Movement in iteration: 603, new cost: 52304
Movement in iteration: 610, new cost: 52288
Movement in iteration: 611, new cost: 52232
Movement in iteration: 621, new cost: 52182
Movement in iteration: 631, new cost: 52122
Movement in iteration: 693, new cost: 52092
Movement in iteration: 694, new cost: 52056
Movement in iteration: 696, new cost: 51872
Movement in iteration: 700, new cost: 51838
Movement in iteration: 707, new cost: 51788
Movement in iteration: 731, new cost: 51752
Movement in iteration: 739, new cost: 51748
Movement in iteration: 748, new cost: 51736
Movement in iteration: 789, new cost: 51708
Movement in iteration: 798, new cost: 51648
Movement in iteration: 804, new cost: 51644
Movement in iteration: 810, new cost: 51564
Movement in iteration: 817, new cost: 51556
Movement in iteration: 827, new cost: 51534
Movement in iteration: 951, new cost: 51508
Movement in iteration: 959, new cost: 51440
Movement in iteration: 961, new cost: 51424
Movement in iteration: 975, new cost: 51420
Movement in iteration: 1000, new cost: 51382
Movement in iteration: 1002, new cost: 51374
Movement in iteration: 1009, new cost: 51290
Movement in iteration: 1039, new cost: 51278
Movement in iteration: 1055, new cost: 51258
Movement in iteration: 1057, new cost: 51226
Movement in iteration: 1085, new cost: 51180
Movement in iteration: 1124, new cost: 51154
Movement in iteration: 1131, new cost: 51130
Movement in iteration: 1139, new cost: 51112
Movement in iteration: 1149, new cost: 51108
Movement in iteration: 1150, new cost: 51100
Movement in iteration: 1177, new cost: 51096
Movement in iteration: 1196, new cost: 51044
Movement in iteration: 1234, new cost: 51000
Movement in iteration: 1262, new cost: 50992
Movement in iteration: 1270, new cost: 50972
Movement in iteration: 1327, new cost: 50918
Movement in iteration: 1402, new cost: 50908
Movement in iteration: 1502, new cost: 50890
Movement in iteration: 1510, new cost: 50830
Movement in iteration: 1555, new cost: 50822
Movement in iteration: 1585, new cost: 50818
Movement in iteration: 1590, new cost: 50810
Movement in iteration: 1638, new cost: 50742
Movement in iteration: 1647, new cost: 50738
Movement in iteration: 1682, new cost: 50726
Movement in iteration: 1691, new cost: 50720
Movement in iteration: 1693, new cost: 50664
Movement in iteration: 1898, new cost: 50652
Movement in iteration: 1972, new cost: 50640
Movement in iteration: 1973, new cost: 50594
Movement in iteration: 1999, new cost: 50544
Movement in iteration: 2027, new cost: 50540
Movement in iteration: 2028, new cost: 50512
Movement in iteration: 2045, new cost: 50504
Movement in iteration: 2052, new cost: 50500
Movement in iteration: 2057, new cost: 50494
Movement in iteration: 2099, new cost: 50430
Movement in iteration: 2177, new cost: 50418
Movement in iteration: 2298, new cost: 50394
Movement in iteration: 2361, new cost: 50354
Movement in iteration: 2369, new cost: 50342
Movement in iteration: 2375, new cost: 50338
Movement in iteration: 2396, new cost: 50324
Movement in iteration: 2439, new cost: 50312
Movement in iteration: 2440, new cost: 50268
Movement in iteration: 2465, new cost: 50266
Movement in iteration: 2501, new cost: 50238
Movement in iteration: 2609, new cost: 50212
Movement in iteration: 2636, new cost: 50202
Movement in iteration: 2641, new cost: 50190
Movement in iteration: 2642, new cost: 50182
Movement in iteration: 2701, new cost: 50178
Movement in iteration: 2824, new cost: 50134
Movement in iteration: 3016, new cost: 50110
Movement in iteration: 3075, new cost: 50108
Movement in iteration: 3096, new cost: 50106
Movement in iteration: 3168, new cost: 50088
Movement in iteration: 3221, new cost: 50048
Movement in iteration: 3256, new cost: 50046
Movement in iteration: 3278, new cost: 50028
Loop ended because of DLB
