Initial solution cost: 9577901
Movement in iteration: 1, new cost: 9576879
Movement in iteration: 3, new cost: 9576854
Movement in iteration: 4, new cost: 9570306
Movement in iteration: 6, new cost: 9566610
Movement in iteration: 8, new cost: 9561474
Movement in iteration: 14, new cost: 9559984
Movement in iteration: 17, new cost: 9556784
Movement in iteration: 30, new cost: 9554966
Movement in iteration: 32, new cost: 9549012
Movement in iteration: 75, new cost: 9546433
Movement in iteration: 96, new cost: 9543339
Movement in iteration: 117, new cost: 9540042
Movement in iteration: 122, new cost: 9537282
Movement in iteration: 127, new cost: 9526203
Movement in iteration: 152, new cost: 9524029
Movement in iteration: 155, new cost: 9521399
Movement in iteration: 156, new cost: 9518753
Movement in iteration: 157, new cost: 9516343
Movement in iteration: 162, new cost: 9511643
Movement in iteration: 164, new cost: 9510971
Movement in iteration: 165, new cost: 9509390
Movement in iteration: 166, new cost: 9507058
Movement in iteration: 167, new cost: 9505206
Movement in iteration: 171, new cost: 9503353
Movement in iteration: 176, new cost: 9501347
Movement in iteration: 180, new cost: 9501123
Movement in iteration: 181, new cost: 9499151
Movement in iteration: 182, new cost: 9498987
Movement in iteration: 183, new cost: 9497432
Movement in iteration: 184, new cost: 9493758
Movement in iteration: 198, new cost: 9492044
Movement in iteration: 211, new cost: 9489907
Movement in iteration: 254, new cost: 9488393
Movement in iteration: 271, new cost: 9487845
Movement in iteration: 276, new cost: 9476787
Movement in iteration: 295, new cost: 9472867
Movement in iteration: 301, new cost: 9470064
Movement in iteration: 308, new cost: 9468012
Movement in iteration: 314, new cost: 9466112
Movement in iteration: 315, new cost: 9464691
Movement in iteration: 316, new cost: 9461745
Movement in iteration: 319, new cost: 9461136
Movement in iteration: 320, new cost: 9457336
Movement in iteration: 333, new cost: 9456566
Movement in iteration: 339, new cost: 9453715
Movement in iteration: 345, new cost: 9451808
Movement in iteration: 347, new cost: 9445433
Movement in iteration: 360, new cost: 9443661
Movement in iteration: 365, new cost: 9443101
Movement in iteration: 366, new cost: 9438705
Movement in iteration: 367, new cost: 9437855
Movement in iteration: 370, new cost: 9436397
Movement in iteration: 375, new cost: 9430287
Movement in iteration: 451, new cost: 9427309
Movement in iteration: 457, new cost: 9423240
Movement in iteration: 464, new cost: 9422304
Movement in iteration: 465, new cost: 9421249
Movement in iteration: 466, new cost: 9421079
Movement in iteration: 467, new cost: 9420035
Movement in iteration: 468, new cost: 9418979
Movement in iteration: 469, new cost: 9418776
Movement in iteration: 471, new cost: 9416509
Movement in iteration: 479, new cost: 9413708
Movement in iteration: 481, new cost: 9410458
Movement in iteration: 482, new cost: 9408952
Movement in iteration: 500, new cost: 9401062
Movement in iteration: 514, new cost: 9400206
Movement in iteration: 536, new cost: 9399546
Movement in iteration: 537, new cost: 9392134
Movement in iteration: 543, new cost: 9392127
Movement in iteration: 559, new cost: 9390822
Movement in iteration: 567, new cost: 9387225
Movement in iteration: 584, new cost: 9387187
Movement in iteration: 601, new cost: 9385613
Movement in iteration: 602, new cost: 9385429
Movement in iteration: 603, new cost: 9382045
Movement in iteration: 605, new cost: 9380441
Movement in iteration: 607, new cost: 9377936
Movement in iteration: 611, new cost: 9374836
Movement in iteration: 612, new cost: 9371866
Movement in iteration: 613, new cost: 9371646
Movement in iteration: 614, new cost: 9369000
Movement in iteration: 615, new cost: 9368183
Movement in iteration: 616, new cost: 9368147
Movement in iteration: 617, new cost: 9363663
Movement in iteration: 625, new cost: 9359569
Movement in iteration: 630, new cost: 9359271
Movement in iteration: 631, new cost: 9357943
Movement in iteration: 645, new cost: 9357708
Movement in iteration: 646, new cost: 9355842
Movement in iteration: 649, new cost: 9354866
Movement in iteration: 651, new cost: 9352482
Movement in iteration: 652, new cost: 9346228
Movement in iteration: 655, new cost: 9338152
Movement in iteration: 663, new cost: 9321984
Movement in iteration: 674, new cost: 9320286
Movement in iteration: 702, new cost: 9311048
Movement in iteration: 708, new cost: 9294564
Movement in iteration: 753, new cost: 9291108
Movement in iteration: 755, new cost: 9289520
Movement in iteration: 770, new cost: 9288598
Movement in iteration: 779, new cost: 9287723
Movement in iteration: 795, new cost: 9285382
Movement in iteration: 798, new cost: 9274348
Movement in iteration: 800, new cost: 9271540
Movement in iteration: 801, new cost: 9270044
Movement in iteration: 813, new cost: 9267824
Movement in iteration: 817, new cost: 9262521
Movement in iteration: 904, new cost: 9259663
Movement in iteration: 908, new cost: 9257263
Movement in iteration: 915, new cost: 9257146
Movement in iteration: 916, new cost: 9254846
Movement in iteration: 919, new cost: 9250067
Movement in iteration: 928, new cost: 9247777
Movement in iteration: 936, new cost: 9246655
Movement in iteration: 942, new cost: 9245605
Movement in iteration: 943, new cost: 9242348
Movement in iteration: 944, new cost: 9242224
Movement in iteration: 949, new cost: 9236985
Movement in iteration: 950, new cost: 9234029
Movement in iteration: 963, new cost: 9233680
Movement in iteration: 1021, new cost: 9226278
Movement in iteration: 1078, new cost: 9225344
Movement in iteration: 1084, new cost: 9223364
Movement in iteration: 1088, new cost: 9221616
Movement in iteration: 1091, new cost: 9217760
Movement in iteration: 1092, new cost: 9217286
Movement in iteration: 1093, new cost: 9214167
Movement in iteration: 1110, new cost: 9211569
Movement in iteration: 1112, new cost: 9210445
Movement in iteration: 1119, new cost: 9210145
Movement in iteration: 1124, new cost: 9204519
Movement in iteration: 1198, new cost: 9203835
Movement in iteration: 1200, new cost: 9203773
Movement in iteration: 1214, new cost: 9203317
Movement in iteration: 1216, new cost: 9203031
Movement in iteration: 1217, new cost: 9200930
Movement in iteration: 1220, new cost: 9200338
Movement in iteration: 1245, new cost: 9199417
Movement in iteration: 1247, new cost: 9194064
Movement in iteration: 1249, new cost: 9193286
Movement in iteration: 1252, new cost: 9187172
Movement in iteration: 1259, new cost: 9185723
Movement in iteration: 1260, new cost: 9185495
Movement in iteration: 1261, new cost: 9184643
Movement in iteration: 1398, new cost: 9183875
Movement in iteration: 1408, new cost: 9182581
Movement in iteration: 1409, new cost: 9181554
Movement in iteration: 1410, new cost: 9181030
Movement in iteration: 1448, new cost: 9176910
Movement in iteration: 1451, new cost: 9169548
Movement in iteration: 1453, new cost: 9168496
Movement in iteration: 1458, new cost: 9166972
Movement in iteration: 1501, new cost: 9166027
Movement in iteration: 1504, new cost: 9164141
Movement in iteration: 1514, new cost: 9162797
Movement in iteration: 1515, new cost: 9161511
Movement in iteration: 1531, new cost: 9161147
Movement in iteration: 1540, new cost: 9158925
Movement in iteration: 1543, new cost: 9154006
Movement in iteration: 1545, new cost: 9152653
Movement in iteration: 1546, new cost: 9152323
Movement in iteration: 1547, new cost: 9147377
Movement in iteration: 1664, new cost: 9147085
Movement in iteration: 1665, new cost: 9146757
Movement in iteration: 1667, new cost: 9143488
Movement in iteration: 1694, new cost: 9142944
Movement in iteration: 1695, new cost: 9142539
Movement in iteration: 1711, new cost: 9138841
Movement in iteration: 1800, new cost: 9137431
Movement in iteration: 1801, new cost: 9136434
Movement in iteration: 1808, new cost: 9136366
Movement in iteration: 1814, new cost: 9136072
Movement in iteration: 1829, new cost: 9132752
Movement in iteration: 1843, new cost: 9131233
Movement in iteration: 1860, new cost: 9130851
Movement in iteration: 1891, new cost: 9129687
Movement in iteration: 1965, new cost: 9129306
Movement in iteration: 2040, new cost: 9125770
Movement in iteration: 2115, new cost: 9125203
Movement in iteration: 2130, new cost: 9123879
Movement in iteration: 2143, new cost: 9117171
Movement in iteration: 2145, new cost: 9115079
Movement in iteration: 2146, new cost: 9107453
