Initial solution cost: 338, Initial temperature: 507
Movement in iteration: 15, new cost: 333
Movement in iteration: 30, new cost: 326
Movement in iteration: 32, new cost: 320
Movement in iteration: 35, new cost: 316
Movement in iteration: 47, new cost: 312
Movement in iteration: 61, new cost: 311
Movement in iteration: 65, new cost: 309
Movement in iteration: 76, new cost: 308
Movement in iteration: 79, new cost: 301
Movement in iteration: 110, new cost: 298
Movement in iteration: 112, new cost: 283
Movement in iteration: 166, new cost: 281
Movement in iteration: 188, new cost: 279
Movement in iteration: 192, new cost: 272
Movement in iteration: 197, new cost: 271
Movement in iteration: 203, new cost: 270
Movement in iteration: 205, new cost: 269
Movement in iteration: 237, new cost: 268
Movement in iteration: 293, new cost: 266
Movement in iteration: 300, new cost: 262
Movement in iteration: 334, new cost: 260
Movement in iteration: 341, new cost: 256
Movement in iteration: 347, new cost: 252
Movement in iteration: 364, new cost: 251
Movement in iteration: 422, new cost: 247
Movement in iteration: 451, new cost: 245
Movement in iteration: 459, new cost: 241
Movement in iteration: 461, new cost: 239
Movement in iteration: 544, new cost: 237
Movement in iteration: 807, new cost: 235
Movement in iteration: 808, new cost: 231
Movement in iteration: 831, new cost: 230
Movement in iteration: 837, new cost: 225
Movement in iteration: 839, new cost: 224
Movement in iteration: 840, new cost: 214
Movement in iteration: 917, new cost: 212
Movement in iteration: 919, new cost: 211
Movement in iteration: 921, new cost: 209
Movement in iteration: 1026, new cost: 208
Movement in iteration: 1087, new cost: 206
Movement in iteration: 1091, new cost: 204
Movement in iteration: 1169, new cost: 203
Movement in iteration: 1173, new cost: 198
Movement in iteration: 1219, new cost: 196
Movement in iteration: 1317, new cost: 194
Movement in iteration: 1433, new cost: 191
Movement in iteration: 1587, new cost: 190
Movement in iteration: 1595, new cost: 188
Movement in iteration: 1728, new cost: 187
Movement in iteration: 1879, new cost: 186
Movement in iteration: 2194, new cost: 184
Movement in iteration: 2223, new cost: 183
Movement in iteration: 2254, new cost: 182
Movement in iteration: 2310, new cost: 180
Movement in iteration: 2439, new cost: 179
Movement in iteration: 2462, new cost: 178
Movement in iteration: 2466, new cost: 177
Movement in iteration: 2681, new cost: 173
Movement in iteration: 2918, new cost: 172
Movement in iteration: 3045, new cost: 169
Movement in iteration: 3074, new cost: 163
Movement in iteration: 3080, new cost: 162
Movement in iteration: 3317, new cost: 160
Movement in iteration: 3319, new cost: 158
Movement in iteration: 3323, new cost: 156
Movement in iteration: 3419, new cost: 155
Movement in iteration: 3450, new cost: 154
Movement in iteration: 3661, new cost: 152
Movement in iteration: 3674, new cost: 151
Movement in iteration: 3691, new cost: 150
Movement in iteration: 3752, new cost: 147
Movement in iteration: 3762, new cost: 145
Movement in iteration: 4066, new cost: 143
Movement in iteration: 4135, new cost: 139
Movement in iteration: 4139, new cost: 136
Movement in iteration: 4154, new cost: 135
Movement in iteration: 4159, new cost: 133
Movement in iteration: 4163, new cost: 131
Movement in iteration: 4553, new cost: 130
Movement in iteration: 4628, new cost: 129
Movement in iteration: 4638, new cost: 125
Movement in iteration: 4718, new cost: 123
Movement in iteration: 4745, new cost: 117
Movement in iteration: 4836, new cost: 115
Movement in iteration: 4981, new cost: 114
Movement in iteration: 5050, new cost: 113
Movement in iteration: 5064, new cost: 112
Movement in iteration: 5790, new cost: 111
Movement in iteration: 5999, new cost: 110
Movement in iteration: 6319, new cost: 109
Movement in iteration: 6389, new cost: 108
Movement in iteration: 7680, new cost: 106
Movement in iteration: 7727, new cost: 104
Movement in iteration: 7732, new cost: 103
Movement in iteration: 7998, new cost: 99
Movement in iteration: 8015, new cost: 97
Movement in iteration: 8187, new cost: 96
Movement in iteration: 8614, new cost: 95
Movement in iteration: 8759, new cost: 94
Movement in iteration: 8933, new cost: 93
Movement in iteration: 11850, new cost: 92
Movement in iteration: 12042, new cost: 91
Loop ended because of the temperature
