Initial solution cost: 56084, Initial temperature: 84126
Movement in iteration: 2, new cost: 56012
Movement in iteration: 4, new cost: 55672
Movement in iteration: 30, new cost: 55630
Movement in iteration: 35, new cost: 55378
Movement in iteration: 37, new cost: 55334
Movement in iteration: 51, new cost: 55258
Movement in iteration: 52, new cost: 55182
Movement in iteration: 55, new cost: 55180
Movement in iteration: 60, new cost: 55158
Movement in iteration: 61, new cost: 55146
Movement in iteration: 62, new cost: 55046
Movement in iteration: 63, new cost: 54954
Movement in iteration: 78, new cost: 54950
Movement in iteration: 86, new cost: 54726
Movement in iteration: 89, new cost: 54724
Movement in iteration: 101, new cost: 54644
Movement in iteration: 104, new cost: 54456
Movement in iteration: 109, new cost: 54448
Movement in iteration: 110, new cost: 54434
Movement in iteration: 111, new cost: 54426
Movement in iteration: 112, new cost: 54322
Movement in iteration: 136, new cost: 54258
Movement in iteration: 137, new cost: 54202
Movement in iteration: 151, new cost: 54180
Movement in iteration: 153, new cost: 54042
Movement in iteration: 154, new cost: 53926
Movement in iteration: 158, new cost: 53836
Movement in iteration: 159, new cost: 53796
Movement in iteration: 160, new cost: 53790
Movement in iteration: 161, new cost: 53746
Movement in iteration: 196, new cost: 53706
Movement in iteration: 201, new cost: 53682
Movement in iteration: 202, new cost: 53678
Movement in iteration: 203, new cost: 53428
Movement in iteration: 237, new cost: 53238
Movement in iteration: 245, new cost: 53194
Movement in iteration: 251, new cost: 53154
Movement in iteration: 253, new cost: 53142
Movement in iteration: 254, new cost: 53110
Movement in iteration: 261, new cost: 53050
Movement in iteration: 264, new cost: 52896
Movement in iteration: 269, new cost: 52886
Movement in iteration: 270, new cost: 52794
Movement in iteration: 272, new cost: 52786
Movement in iteration: 310, new cost: 52742
Movement in iteration: 351, new cost: 52644
Movement in iteration: 359, new cost: 52620
Movement in iteration: 360, new cost: 52602
Movement in iteration: 361, new cost: 52586
Movement in iteration: 364, new cost: 52302
Movement in iteration: 374, new cost: 52278
Movement in iteration: 379, new cost: 52206
Movement in iteration: 381, new cost: 52166
Movement in iteration: 389, new cost: 52112
Movement in iteration: 392, new cost: 51964
Movement in iteration: 401, new cost: 51906
Movement in iteration: 411, new cost: 51894
Movement in iteration: 421, new cost: 51886
Movement in iteration: 492, new cost: 51874
Movement in iteration: 540, new cost: 51854
Movement in iteration: 600, new cost: 51818
Movement in iteration: 618, new cost: 51796
Movement in iteration: 629, new cost: 51750
Movement in iteration: 647, new cost: 51740
Movement in iteration: 712, new cost: 51732
Movement in iteration: 714, new cost: 51718
Movement in iteration: 725, new cost: 51692
Movement in iteration: 733, new cost: 51612
Movement in iteration: 734, new cost: 51602
Movement in iteration: 735, new cost: 51534
Movement in iteration: 738, new cost: 51506
Movement in iteration: 756, new cost: 51488
Movement in iteration: 760, new cost: 51440
Movement in iteration: 773, new cost: 51436
Movement in iteration: 804, new cost: 51424
Movement in iteration: 852, new cost: 51400
Movement in iteration: 949, new cost: 51340
Movement in iteration: 970, new cost: 51336
Movement in iteration: 980, new cost: 51328
Movement in iteration: 1031, new cost: 51302
Movement in iteration: 1036, new cost: 51270
Movement in iteration: 1084, new cost: 51244
Movement in iteration: 1093, new cost: 51228
Movement in iteration: 1096, new cost: 51184
Movement in iteration: 1103, new cost: 51120
Movement in iteration: 1199, new cost: 51116
Movement in iteration: 1218, new cost: 51070
Movement in iteration: 1225, new cost: 51054
Movement in iteration: 1226, new cost: 51052
Movement in iteration: 1235, new cost: 51038
Movement in iteration: 1245, new cost: 51030
Movement in iteration: 1312, new cost: 51022
Movement in iteration: 1327, new cost: 51014
Movement in iteration: 1329, new cost: 50962
Movement in iteration: 1330, new cost: 50934
Movement in iteration: 1339, new cost: 50874
Movement in iteration: 1357, new cost: 50870
Movement in iteration: 1465, new cost: 50842
Movement in iteration: 1494, new cost: 50822
Movement in iteration: 1531, new cost: 50816
Movement in iteration: 1538, new cost: 50764
Movement in iteration: 1600, new cost: 50730
Movement in iteration: 1602, new cost: 50688
Movement in iteration: 1637, new cost: 50684
Movement in iteration: 1691, new cost: 50680
Movement in iteration: 1718, new cost: 50656
Movement in iteration: 1725, new cost: 50652
Movement in iteration: 1732, new cost: 50612
Movement in iteration: 1735, new cost: 50574
Movement in iteration: 1772, new cost: 50542
Movement in iteration: 1779, new cost: 50506
Movement in iteration: 1780, new cost: 50480
Movement in iteration: 1816, new cost: 50460
Movement in iteration: 1825, new cost: 50416
Movement in iteration: 1869, new cost: 50412
Movement in iteration: 1870, new cost: 50398
Movement in iteration: 1941, new cost: 50382
Movement in iteration: 1950, new cost: 50378
Movement in iteration: 2064, new cost: 50346
Movement in iteration: 2115, new cost: 50338
Movement in iteration: 2240, new cost: 50306
Movement in iteration: 2244, new cost: 50268
Loop ended because of the temperature
