Initial solution cost: 50427920, Initial temperature: 7.56419e+07
Movement in iteration: 92, new cost: 50091706
Movement in iteration: 104, new cost: 50053244
Movement in iteration: 107, new cost: 49971361
Movement in iteration: 111, new cost: 49716661
Movement in iteration: 359, new cost: 49647875
Movement in iteration: 362, new cost: 49605264
Movement in iteration: 366, new cost: 49535402
Movement in iteration: 373, new cost: 49485212
Movement in iteration: 393, new cost: 49472074
Movement in iteration: 395, new cost: 49466363
Movement in iteration: 426, new cost: 49454384
Movement in iteration: 605, new cost: 49417566
Movement in iteration: 607, new cost: 49380172
Movement in iteration: 613, new cost: 49374194
Movement in iteration: 614, new cost: 49299927
Movement in iteration: 615, new cost: 49232229
Movement in iteration: 617, new cost: 49211044
Movement in iteration: 628, new cost: 49144647
Movement in iteration: 648, new cost: 49106420
Movement in iteration: 650, new cost: 49096509
Movement in iteration: 858, new cost: 49063888
Movement in iteration: 862, new cost: 49031528
Movement in iteration: 867, new cost: 48905975
Movement in iteration: 872, new cost: 48850486
Movement in iteration: 883, new cost: 48793633
Movement in iteration: 889, new cost: 48787367
Movement in iteration: 903, new cost: 48784765
Movement in iteration: 905, new cost: 48747509
Movement in iteration: 1144, new cost: 48699788
Movement in iteration: 1158, new cost: 48688110
Movement in iteration: 1367, new cost: 48619305
Movement in iteration: 1368, new cost: 48589725
Movement in iteration: 1370, new cost: 48556916
Movement in iteration: 1377, new cost: 48554428
Movement in iteration: 1378, new cost: 48523888
Movement in iteration: 1380, new cost: 48418077
Movement in iteration: 1382, new cost: 48402836
Movement in iteration: 1391, new cost: 48386097
Movement in iteration: 1393, new cost: 48379603
Movement in iteration: 1399, new cost: 48345803
Movement in iteration: 1413, new cost: 48288254
Movement in iteration: 1667, new cost: 48277179
Movement in iteration: 1668, new cost: 48273427
Movement in iteration: 1670, new cost: 48256162
Movement in iteration: 1762, new cost: 48236011
Movement in iteration: 1890, new cost: 48196975
Movement in iteration: 1896, new cost: 48182064
Movement in iteration: 1922, new cost: 48177155
Movement in iteration: 1923, new cost: 48171580
Movement in iteration: 2013, new cost: 48121653
Movement in iteration: 2138, new cost: 48093525
Movement in iteration: 2147, new cost: 48010483
Movement in iteration: 2151, new cost: 47976370
Movement in iteration: 2164, new cost: 47967510
Movement in iteration: 2178, new cost: 47947282
Movement in iteration: 2268, new cost: 47926830
Movement in iteration: 2272, new cost: 47910225
Movement in iteration: 2406, new cost: 47878764
Movement in iteration: 2413, new cost: 47854234
Movement in iteration: 2419, new cost: 47846015
Movement in iteration: 2433, new cost: 47834931
Movement in iteration: 2435, new cost: 47810183
Movement in iteration: 2527, new cost: 47794299
Movement in iteration: 2642, new cost: 47734437
Movement in iteration: 2644, new cost: 47687650
Movement in iteration: 2645, new cost: 47662873
Movement in iteration: 2646, new cost: 47634112
Movement in iteration: 2647, new cost: 47594695
Movement in iteration: 2648, new cost: 47594357
Movement in iteration: 2654, new cost: 47585256
Movement in iteration: 2655, new cost: 47560144
Movement in iteration: 2661, new cost: 47503752
Movement in iteration: 2668, new cost: 47420587
Movement in iteration: 2778, new cost: 47411792
Movement in iteration: 2782, new cost: 47408582
Movement in iteration: 2917, new cost: 47368223
Movement in iteration: 2923, new cost: 47339618
Movement in iteration: 2929, new cost: 47292863
Movement in iteration: 2972, new cost: 47291710
Movement in iteration: 3033, new cost: 47279303
Movement in iteration: 3037, new cost: 47276657
Movement in iteration: 3182, new cost: 47271407
Movement in iteration: 3184, new cost: 47266891
Movement in iteration: 3197, new cost: 47243465
Movement in iteration: 3200, new cost: 47238911
Movement in iteration: 3227, new cost: 47218737
Movement in iteration: 3292, new cost: 47210828
Movement in iteration: 3309, new cost: 47137990
Movement in iteration: 3482, new cost: 47134949
Movement in iteration: 3534, new cost: 47106054
Movement in iteration: 3564, new cost: 47092740
Movement in iteration: 3940, new cost: 47071048
Movement in iteration: 3948, new cost: 47028545
Movement in iteration: 3961, new cost: 47027680
Movement in iteration: 3991, new cost: 47017415
Movement in iteration: 4001, new cost: 47015727
Movement in iteration: 4043, new cost: 46992630
Movement in iteration: 4056, new cost: 46977155
Movement in iteration: 4074, new cost: 46975732
Movement in iteration: 4196, new cost: 46975693
Movement in iteration: 4212, new cost: 46958029
Movement in iteration: 4215, new cost: 46951882
Movement in iteration: 4218, new cost: 46929209
Movement in iteration: 4235, new cost: 46854206
Movement in iteration: 4535, new cost: 46818992
Movement in iteration: 4818, new cost: 46818429
Movement in iteration: 5250, new cost: 46812536
Movement in iteration: 5287, new cost: 46792722
Movement in iteration: 5325, new cost: 46790178
Movement in iteration: 5946, new cost: 46759815
Movement in iteration: 5955, new cost: 46684577
Movement in iteration: 5960, new cost: 46681952
Movement in iteration: 5978, new cost: 46678297
Movement in iteration: 5986, new cost: 46674989
Movement in iteration: 6006, new cost: 46663334
Movement in iteration: 6007, new cost: 46649286
Movement in iteration: 6068, new cost: 46640267
Movement in iteration: 6077, new cost: 46639176
Movement in iteration: 6081, new cost: 46636277
Movement in iteration: 6099, new cost: 46633614
Movement in iteration: 6197, new cost: 46625007
Movement in iteration: 6203, new cost: 46613241
Movement in iteration: 6204, new cost: 46608137
Movement in iteration: 6205, new cost: 46603290
Movement in iteration: 6211, new cost: 46526887
Movement in iteration: 6226, new cost: 46502715
Movement in iteration: 6267, new cost: 46495873
Movement in iteration: 6294, new cost: 46494834
Movement in iteration: 6319, new cost: 46485109
Movement in iteration: 6332, new cost: 46477078
Movement in iteration: 6350, new cost: 46474474
Movement in iteration: 6467, new cost: 46421996
Movement in iteration: 6508, new cost: 46367798
Movement in iteration: 6834, new cost: 46358507
Movement in iteration: 6951, new cost: 46328574
Movement in iteration: 7200, new cost: 46284038
Movement in iteration: 7202, new cost: 46281589
Movement in iteration: 7210, new cost: 46232800
Movement in iteration: 7241, new cost: 46206085
Movement in iteration: 7288, new cost: 46165528
Movement in iteration: 7481, new cost: 46140771
Movement in iteration: 7492, new cost: 46130845
Movement in iteration: 7495, new cost: 46121446
Movement in iteration: 7529, new cost: 46119909
Movement in iteration: 7539, new cost: 46104041
Movement in iteration: 7583, new cost: 46088579
Movement in iteration: 7711, new cost: 46080980
Movement in iteration: 7787, new cost: 46076790
Movement in iteration: 7834, new cost: 46072207
Movement in iteration: 7949, new cost: 46069899
Movement in iteration: 7951, new cost: 46020054
Movement in iteration: 7955, new cost: 45975171
Movement in iteration: 7961, new cost: 45960728
Movement in iteration: 7962, new cost: 45931008
Movement in iteration: 8020, new cost: 45922224
Movement in iteration: 8034, new cost: 45888126
Movement in iteration: 8213, new cost: 45878094
Movement in iteration: 8289, new cost: 45824306
Movement in iteration: 8745, new cost: 45812772
Movement in iteration: 8790, new cost: 45785586
Movement in iteration: 9026, new cost: 45698591
Movement in iteration: 9213, new cost: 45662155
Movement in iteration: 9234, new cost: 45660739
Movement in iteration: 9245, new cost: 45616611
Movement in iteration: 9284, new cost: 45610575
Movement in iteration: 9290, new cost: 45590148
Movement in iteration: 9465, new cost: 45583700
Movement in iteration: 9484, new cost: 45555917
Movement in iteration: 9493, new cost: 45472443
Movement in iteration: 9743, new cost: 45459560
Movement in iteration: 9745, new cost: 45442725
Movement in iteration: 9793, new cost: 45424341
Movement in iteration: 9803, new cost: 45417181
Movement in iteration: 9985, new cost: 45401760
Movement in iteration: 9993, new cost: 45397066
Movement in iteration: 9995, new cost: 45387963
Movement in iteration: 9999, new cost: 45379205
Movement in iteration: 10043, new cost: 45377199
Movement in iteration: 10100, new cost: 45361830
Movement in iteration: 10206, new cost: 45330540
Movement in iteration: 10207, new cost: 45254928
Movement in iteration: 10243, new cost: 45201500
Movement in iteration: 10265, new cost: 45186106
Movement in iteration: 10293, new cost: 45176588
Movement in iteration: 10463, new cost: 45159138
Movement in iteration: 10485, new cost: 45155793
Movement in iteration: 10490, new cost: 45106873
Movement in iteration: 10538, new cost: 45092852
Movement in iteration: 10543, new cost: 45075256
Movement in iteration: 10707, new cost: 44955650
Movement in iteration: 10713, new cost: 44925730
Movement in iteration: 10749, new cost: 44910149
Movement in iteration: 10763, new cost: 44825265
Movement in iteration: 10818, new cost: 44808176
Movement in iteration: 10951, new cost: 44695894
Movement in iteration: 10959, new cost: 44663522
Movement in iteration: 10961, new cost: 44636792
Movement in iteration: 10962, new cost: 44614144
Movement in iteration: 10965, new cost: 44603829
Movement in iteration: 10980, new cost: 44534825
Movement in iteration: 11015, new cost: 44528893
Movement in iteration: 11068, new cost: 44481605
Movement in iteration: 11211, new cost: 44456746
Movement in iteration: 11212, new cost: 44455485
Movement in iteration: 11214, new cost: 44419839
Movement in iteration: 11215, new cost: 44381226
Movement in iteration: 11230, new cost: 44370911
Movement in iteration: 11232, new cost: 44325230
Movement in iteration: 11245, new cost: 44305885
Movement in iteration: 11488, new cost: 44299358
Movement in iteration: 11490, new cost: 44282504
Movement in iteration: 11497, new cost: 44279813
Movement in iteration: 11513, new cost: 44198733
Movement in iteration: 11800, new cost: 44175473
Movement in iteration: 11809, new cost: 44156629
Movement in iteration: 11851, new cost: 44138265
Movement in iteration: 12046, new cost: 44088988
Movement in iteration: 12204, new cost: 44086529
Movement in iteration: 12206, new cost: 44078522
Movement in iteration: 12209, new cost: 44077250
Movement in iteration: 12212, new cost: 44035768
Movement in iteration: 12214, new cost: 44029228
Movement in iteration: 12215, new cost: 44002780
Movement in iteration: 12216, new cost: 43985832
Movement in iteration: 12240, new cost: 43957448
Movement in iteration: 12247, new cost: 43930691
Movement in iteration: 12263, new cost: 43929872
Movement in iteration: 12265, new cost: 43905571
Movement in iteration: 12288, new cost: 43885091
Movement in iteration: 12318, new cost: 43822363
Movement in iteration: 12711, new cost: 43816780
Movement in iteration: 12713, new cost: 43793571
Movement in iteration: 12715, new cost: 43761975
Movement in iteration: 12729, new cost: 43749459
Movement in iteration: 12731, new cost: 43748868
Movement in iteration: 12734, new cost: 43743173
Movement in iteration: 12739, new cost: 43734447
Movement in iteration: 12746, new cost: 43706394
Movement in iteration: 12752, new cost: 43705974
Movement in iteration: 12755, new cost: 43698084
Movement in iteration: 12762, new cost: 43682115
Movement in iteration: 12764, new cost: 43677838
Movement in iteration: 12779, new cost: 43668946
Movement in iteration: 12787, new cost: 43653882
Movement in iteration: 12828, new cost: 43628185
Movement in iteration: 12849, new cost: 43588065
Movement in iteration: 13052, new cost: 43583572
Movement in iteration: 13099, new cost: 43549311
Movement in iteration: 13236, new cost: 43541535
Movement in iteration: 13239, new cost: 43539056
