Initial solution cost: 11620, Initial temperature: 17430
Worse movement in iteration: 1, new cost: 14828
Worse movement in iteration: 2, new cost: 14968
Movement in iteration: 3, new cost: 14958
Worse movement in iteration: 4, new cost: 15376
Worse movement in iteration: 5, new cost: 16264
Movement in iteration: 6, new cost: 13374
Movement in iteration: 7, new cost: 11726
Worse movement in iteration: 8, new cost: 12950
Movement in iteration: 9, new cost: 11978
Movement in iteration: 10, new cost: 11406
Worse movement in iteration: 11, new cost: 14266
Movement in iteration: 12, new cost: 10198
Worse movement in iteration: 13, new cost: 11244
Movement in iteration: 14, new cost: 11230
Worse movement in iteration: 15, new cost: 13678
Movement in iteration: 16, new cost: 13214
Worse movement in iteration: 17, new cost: 13836
Movement in iteration: 18, new cost: 13318
Worse movement in iteration: 19, new cost: 14066
Worse movement in iteration: 20, new cost: 15068
Movement in iteration: 21, new cost: 12808
Movement in iteration: 22, new cost: 11902
Worse movement in iteration: 23, new cost: 13064
Worse movement in iteration: 24, new cost: 16338
Movement in iteration: 25, new cost: 12658
Worse movement in iteration: 26, new cost: 13810
Movement in iteration: 27, new cost: 13550
Worse movement in iteration: 28, new cost: 16630
Movement in iteration: 29, new cost: 13752
Worse movement in iteration: 30, new cost: 13972
Worse movement in iteration: 32, new cost: 14032
Worse movement in iteration: 33, new cost: 14570
Movement in iteration: 34, new cost: 12868
Movement in iteration: 35, new cost: 11136
Movement in iteration: 36, new cost: 10848
Worse movement in iteration: 37, new cost: 12444
Movement in iteration: 38, new cost: 11014
Worse movement in iteration: 39, new cost: 11384
Worse movement in iteration: 40, new cost: 12262
Movement in iteration: 41, new cost: 10402
Worse movement in iteration: 44, new cost: 10548
Movement in iteration: 45, new cost: 10378
Worse movement in iteration: 49, new cost: 10602
Movement in iteration: 53, new cost: 10492
Movement in iteration: 54, new cost: 9886
Worse movement in iteration: 57, new cost: 9912
Movement in iteration: 58, new cost: 9892
Worse movement in iteration: 59, new cost: 9918
Worse movement in iteration: 65, new cost: 9918
Worse movement in iteration: 66, new cost: 9952
Movement in iteration: 67, new cost: 9882
Movement in iteration: 116, new cost: 9662
Movement in iteration: 148, new cost: 9354
Movement in iteration: 154, new cost: 9206
Movement in iteration: 155, new cost: 9080
Movement in iteration: 159, new cost: 8860
Movement in iteration: 160, new cost: 8742
Movement in iteration: 161, new cost: 8626
Movement in iteration: 162, new cost: 8624
Movement in iteration: 163, new cost: 8584
Movement in iteration: 182, new cost: 8412
Movement in iteration: 187, new cost: 8346
Movement in iteration: 236, new cost: 8334
Movement in iteration: 239, new cost: 8114
Movement in iteration: 271, new cost: 8024
Movement in iteration: 347, new cost: 7926
Loop ended because of the temperature
