Initial solution cost: 54968, Initial temperature: 82452
Movement in iteration: 1, new cost: 54886
Worse movement in iteration: 2, new cost: 55034
Worse movement in iteration: 3, new cost: 55090
Movement in iteration: 4, new cost: 54726
Worse movement in iteration: 5, new cost: 55184
Movement in iteration: 6, new cost: 54640
Worse movement in iteration: 7, new cost: 54830
Movement in iteration: 8, new cost: 54730
Worse movement in iteration: 9, new cost: 54908
Worse movement in iteration: 10, new cost: 54944
Worse movement in iteration: 11, new cost: 55032
Worse movement in iteration: 12, new cost: 55136
Movement in iteration: 13, new cost: 54868
Worse movement in iteration: 14, new cost: 55116
Worse movement in iteration: 15, new cost: 55384
Movement in iteration: 16, new cost: 54904
Movement in iteration: 17, new cost: 54884
Worse movement in iteration: 18, new cost: 55282
Movement in iteration: 19, new cost: 55098
Worse movement in iteration: 20, new cost: 55194
Movement in iteration: 21, new cost: 55132
Worse movement in iteration: 22, new cost: 55148
Worse movement in iteration: 23, new cost: 55314
Movement in iteration: 24, new cost: 55082
Worse movement in iteration: 25, new cost: 55192
Worse movement in iteration: 26, new cost: 55712
Movement in iteration: 27, new cost: 54960
Worse movement in iteration: 28, new cost: 55096
Worse movement in iteration: 29, new cost: 55140
Movement in iteration: 30, new cost: 55018
Movement in iteration: 31, new cost: 54910
Worse movement in iteration: 32, new cost: 55156
Movement in iteration: 33, new cost: 55088
Movement in iteration: 34, new cost: 54778
Worse movement in iteration: 35, new cost: 55010
Worse movement in iteration: 36, new cost: 55102
Movement in iteration: 37, new cost: 55030
Worse movement in iteration: 38, new cost: 55136
Movement in iteration: 39, new cost: 54964
Worse movement in iteration: 40, new cost: 54984
Worse movement in iteration: 41, new cost: 55088
Movement in iteration: 42, new cost: 55080
Movement in iteration: 43, new cost: 55014
Worse movement in iteration: 44, new cost: 55082
Movement in iteration: 45, new cost: 54932
Worse movement in iteration: 46, new cost: 55188
Worse movement in iteration: 47, new cost: 55264
Movement in iteration: 48, new cost: 54748
Worse movement in iteration: 49, new cost: 54918
Worse movement in iteration: 50, new cost: 55032
Movement in iteration: 51, new cost: 55016
Worse movement in iteration: 52, new cost: 55136
Worse movement in iteration: 53, new cost: 55256
Movement in iteration: 54, new cost: 55120
Worse movement in iteration: 55, new cost: 55338
Movement in iteration: 56, new cost: 55034
Movement in iteration: 57, new cost: 54832
Worse movement in iteration: 58, new cost: 54988
Movement in iteration: 59, new cost: 54968
Worse movement in iteration: 60, new cost: 54984
Worse movement in iteration: 61, new cost: 55100
Worse movement in iteration: 62, new cost: 55184
Movement in iteration: 63, new cost: 55036
Worse movement in iteration: 64, new cost: 55104
Worse movement in iteration: 65, new cost: 55284
Movement in iteration: 66, new cost: 54764
Movement in iteration: 67, new cost: 54688
Movement in iteration: 69, new cost: 54610
Worse movement in iteration: 70, new cost: 54658
Movement in iteration: 71, new cost: 54632
Movement in iteration: 72, new cost: 54584
Worse movement in iteration: 81, new cost: 54600
Movement in iteration: 84, new cost: 54406
Movement in iteration: 98, new cost: 54374
Movement in iteration: 99, new cost: 54202
Movement in iteration: 101, new cost: 54128
Movement in iteration: 108, new cost: 54030
Movement in iteration: 110, new cost: 54024
Movement in iteration: 119, new cost: 53958
Movement in iteration: 159, new cost: 53846
Movement in iteration: 162, new cost: 53708
Movement in iteration: 165, new cost: 53660
Movement in iteration: 169, new cost: 53558
Movement in iteration: 204, new cost: 53382
Movement in iteration: 215, new cost: 53354
Movement in iteration: 222, new cost: 53330
Movement in iteration: 231, new cost: 53270
Movement in iteration: 234, new cost: 53154
Movement in iteration: 251, new cost: 53146
Movement in iteration: 253, new cost: 53138
Movement in iteration: 261, new cost: 53114
Movement in iteration: 264, new cost: 53088
Movement in iteration: 284, new cost: 52972
Movement in iteration: 289, new cost: 52950
Movement in iteration: 292, new cost: 52914
Movement in iteration: 299, new cost: 52902
Movement in iteration: 301, new cost: 52888
Movement in iteration: 312, new cost: 52882
Movement in iteration: 313, new cost: 52762
Movement in iteration: 320, new cost: 52738
Movement in iteration: 394, new cost: 52572
Movement in iteration: 442, new cost: 52448
Movement in iteration: 443, new cost: 52418
Movement in iteration: 445, new cost: 52416
Movement in iteration: 448, new cost: 52342
Movement in iteration: 489, new cost: 52278
Movement in iteration: 498, new cost: 52242
Movement in iteration: 556, new cost: 52174
Movement in iteration: 692, new cost: 52150
Movement in iteration: 731, new cost: 52108
Movement in iteration: 738, new cost: 52074
Movement in iteration: 767, new cost: 52060
Movement in iteration: 771, new cost: 52050
Movement in iteration: 794, new cost: 52026
Movement in iteration: 797, new cost: 52006
Movement in iteration: 801, new cost: 51866
Movement in iteration: 835, new cost: 51864
Movement in iteration: 839, new cost: 51800
Movement in iteration: 843, new cost: 51744
Movement in iteration: 851, new cost: 51708
Movement in iteration: 861, new cost: 51688
Movement in iteration: 863, new cost: 51652
Movement in iteration: 878, new cost: 51642
Movement in iteration: 898, new cost: 51582
Movement in iteration: 909, new cost: 51570
Movement in iteration: 912, new cost: 51482
Movement in iteration: 982, new cost: 51436
Movement in iteration: 983, new cost: 51376
Movement in iteration: 1014, new cost: 51336
Movement in iteration: 1019, new cost: 51326
Movement in iteration: 1067, new cost: 51306
Movement in iteration: 1076, new cost: 51302
Movement in iteration: 1077, new cost: 51290
Movement in iteration: 1084, new cost: 51254
Movement in iteration: 1160, new cost: 51238
Movement in iteration: 1170, new cost: 51206
Movement in iteration: 1197, new cost: 51196
Movement in iteration: 1208, new cost: 51172
Movement in iteration: 1215, new cost: 51110
Movement in iteration: 1217, new cost: 51074
