Initial solution cost: 9525472, Initial temperature: 1.42882e+07
Movement in iteration: 1, new cost: 9522276
Worse movement in iteration: 2, new cost: 9529138
Movement in iteration: 3, new cost: 9528563
Worse movement in iteration: 4, new cost: 9531227
Worse movement in iteration: 5, new cost: 9536333
Worse movement in iteration: 6, new cost: 9537157
Movement in iteration: 7, new cost: 9530404
Movement in iteration: 8, new cost: 9528556
Worse movement in iteration: 9, new cost: 9540283
Worse movement in iteration: 10, new cost: 9546361
Movement in iteration: 11, new cost: 9536786
Worse movement in iteration: 12, new cost: 9539148
Movement in iteration: 13, new cost: 9527629
Worse movement in iteration: 14, new cost: 9539549
Worse movement in iteration: 15, new cost: 9542322
Worse movement in iteration: 16, new cost: 9542866
Movement in iteration: 17, new cost: 9539426
Worse movement in iteration: 18, new cost: 9539914
Worse movement in iteration: 19, new cost: 9545954
Movement in iteration: 20, new cost: 9543586
Movement in iteration: 21, new cost: 9539974
Worse movement in iteration: 22, new cost: 9551672
Movement in iteration: 23, new cost: 9537608
Movement in iteration: 24, new cost: 9531336
Worse movement in iteration: 25, new cost: 9539128
Movement in iteration: 26, new cost: 9535720
Worse movement in iteration: 27, new cost: 9541704
Movement in iteration: 28, new cost: 9522974
Movement in iteration: 29, new cost: 9522728
Movement in iteration: 30, new cost: 9521826
Worse movement in iteration: 31, new cost: 9523866
Worse movement in iteration: 32, new cost: 9529222
Movement in iteration: 33, new cost: 9522686
Worse movement in iteration: 34, new cost: 9542716
Movement in iteration: 35, new cost: 9535007
Movement in iteration: 36, new cost: 9525907
Movement in iteration: 37, new cost: 9514824
Worse movement in iteration: 38, new cost: 9536742
Movement in iteration: 39, new cost: 9527438
Worse movement in iteration: 40, new cost: 9541558
Movement in iteration: 41, new cost: 9525748
Worse movement in iteration: 42, new cost: 9542672
Movement in iteration: 43, new cost: 9517179
Movement in iteration: 44, new cost: 9502195
Worse movement in iteration: 45, new cost: 9507379
Movement in iteration: 46, new cost: 9505735
Worse movement in iteration: 47, new cost: 9507766
Worse movement in iteration: 48, new cost: 9508860
Worse movement in iteration: 49, new cost: 9511567
Movement in iteration: 50, new cost: 9506691
Worse movement in iteration: 51, new cost: 9509826
Worse movement in iteration: 52, new cost: 9510960
Worse movement in iteration: 53, new cost: 9519160
Movement in iteration: 54, new cost: 9505334
Worse movement in iteration: 55, new cost: 9514559
Movement in iteration: 56, new cost: 9494357
Worse movement in iteration: 57, new cost: 9518977
Worse movement in iteration: 58, new cost: 9523651
Movement in iteration: 59, new cost: 9512710
Worse movement in iteration: 60, new cost: 9514400
Movement in iteration: 61, new cost: 9513656
Worse movement in iteration: 62, new cost: 9521414
Movement in iteration: 63, new cost: 9517770
Movement in iteration: 64, new cost: 9511102
Worse movement in iteration: 65, new cost: 9518065
Movement in iteration: 66, new cost: 9507607
Movement in iteration: 67, new cost: 9504948
Worse movement in iteration: 68, new cost: 9506240
Worse movement in iteration: 69, new cost: 9510116
Worse movement in iteration: 70, new cost: 9517550
Movement in iteration: 71, new cost: 9516112
Worse movement in iteration: 72, new cost: 9530274
Movement in iteration: 73, new cost: 9523710
Worse movement in iteration: 74, new cost: 9525276
Movement in iteration: 75, new cost: 9524946
Movement in iteration: 76, new cost: 9520176
Worse movement in iteration: 77, new cost: 9524069
Worse movement in iteration: 78, new cost: 9535113
Worse movement in iteration: 79, new cost: 9538225
Movement in iteration: 80, new cost: 9507145
Worse movement in iteration: 81, new cost: 9518485
Worse movement in iteration: 82, new cost: 9533879
Movement in iteration: 83, new cost: 9521764
Worse movement in iteration: 84, new cost: 9529422
Worse movement in iteration: 85, new cost: 9531472
Movement in iteration: 86, new cost: 9490372
Worse movement in iteration: 88, new cost: 9495316
Movement in iteration: 91, new cost: 9490124
Movement in iteration: 95, new cost: 9484648
Movement in iteration: 150, new cost: 9484562
Movement in iteration: 151, new cost: 9481808
Movement in iteration: 206, new cost: 9469562
Movement in iteration: 209, new cost: 9465423
Movement in iteration: 211, new cost: 9460830
Movement in iteration: 226, new cost: 9456184
Movement in iteration: 230, new cost: 9450918
Movement in iteration: 236, new cost: 9449578
Movement in iteration: 237, new cost: 9448182
Movement in iteration: 254, new cost: 9445776
Movement in iteration: 257, new cost: 9441847
Movement in iteration: 261, new cost: 9440234
Movement in iteration: 262, new cost: 9429430
Movement in iteration: 272, new cost: 9426318
Movement in iteration: 299, new cost: 9425266
Movement in iteration: 300, new cost: 9424109
Movement in iteration: 301, new cost: 9423751
Movement in iteration: 302, new cost: 9422615
Movement in iteration: 306, new cost: 9421433
Movement in iteration: 328, new cost: 9419891
Movement in iteration: 329, new cost: 9419330
Movement in iteration: 336, new cost: 9413850
Movement in iteration: 343, new cost: 9408878
Movement in iteration: 368, new cost: 9405878
Movement in iteration: 379, new cost: 9399205
Movement in iteration: 393, new cost: 9398503
